Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Smoketest_IUT,Firefox 59.0,,2018-04-11 10:04:51,2018-04-11 10:12:46,"7m - 55,250s",FAILED
,,,,,,
Test Cases/IUT/EWS/Landingpage/Verify all Elements,Firefox 59.0,,2018-04-11 10:04:51,2018-04-11 10:05:12,"20,417s",PASSED
openBrowser,Firefox 59.0,,2018-04-11 10:04:52,2018-04-11 10:05:02,"9,952s",PASSED
setViewPortSize,Firefox 59.0,,2018-04-11 10:05:02,2018-04-11 10:05:04,"2,192s",PASSED
delay,Firefox 59.0,,2018-04-11 10:05:04,2018-04-11 10:05:09,"5,043s",PASSED
waitForElementPresent,Firefox 59.0,,2018-04-11 10:05:09,2018-04-11 10:05:09,"0,218s",PASSED
verifyElementPresent,Firefox 59.0,,2018-04-11 10:05:09,2018-04-11 10:05:10,"0,070s",PASSED
verifyElementPresent,Firefox 59.0,,2018-04-11 10:05:10,2018-04-11 10:05:10,"0,043s",PASSED
verifyElementPresent,Firefox 59.0,,2018-04-11 10:05:10,2018-04-11 10:05:10,"0,059s",PASSED
verifyElementPresent,Firefox 59.0,,2018-04-11 10:05:10,2018-04-11 10:05:10,"0,051s",PASSED
verifyElementPresent,Firefox 59.0,,2018-04-11 10:05:10,2018-04-11 10:05:10,"0,040s",PASSED
verifyElementPresent,Firefox 59.0,,2018-04-11 10:05:10,2018-04-11 10:05:10,"0,024s",PASSED
verifyElementPresent,Firefox 59.0,,2018-04-11 10:05:10,2018-04-11 10:05:10,"0,029s",PASSED
verifyElementPresent,Firefox 59.0,,2018-04-11 10:05:10,2018-04-11 10:05:10,"0,022s",PASSED
verifyElementPresent,Firefox 59.0,,2018-04-11 10:05:10,2018-04-11 10:05:10,"0,039s",PASSED
verifyElementPresent,Firefox 59.0,,2018-04-11 10:05:10,2018-04-11 10:05:10,"0,036s",PASSED
verifyElementPresent,Firefox 59.0,,2018-04-11 10:05:10,2018-04-11 10:05:10,"0,039s",PASSED
verifyElementPresent,Firefox 59.0,,2018-04-11 10:05:10,2018-04-11 10:05:10,"0,044s",PASSED
verifyElementPresent,Firefox 59.0,,2018-04-11 10:05:10,2018-04-11 10:05:10,"0,096s",PASSED
verifyElementPresent,Firefox 59.0,,2018-04-11 10:05:10,2018-04-11 10:05:10,"0,069s",PASSED
verifyElementPresent,Firefox 59.0,,2018-04-11 10:05:10,2018-04-11 10:05:10,"0,037s",PASSED
verifyElementPresent,Firefox 59.0,,2018-04-11 10:05:10,2018-04-11 10:05:10,"0,045s",PASSED
verifyElementPresent,Firefox 59.0,,2018-04-11 10:05:10,2018-04-11 10:05:10,"0,025s",PASSED
